timestamp,l_arm_l_wrist_roll_position,l_arm_l_wrist_roll_temperature,l_arm_l_wrist_roll_goal_position,l_arm_l_wrist_roll_pid,l_arm_l_gripper_position,l_arm_l_gripper_temperature,l_arm_l_gripper_goal_position,l_arm_l_gripper_pid,l_arm_l_wrist_pitch_position,l_arm_l_wrist_pitch_temperature,l_arm_l_wrist_pitch_goal_position,l_arm_l_wrist_pitch_pid,l_arm_l_shoulder_roll_position,l_arm_l_shoulder_roll_temperature,l_arm_l_shoulder_roll_goal_position,l_arm_l_shoulder_roll_pid,l_arm_l_forearm_yaw_position,l_arm_l_forearm_yaw_temperature,l_arm_l_forearm_yaw_goal_position,l_arm_l_forearm_yaw_pid,l_arm_l_arm_yaw_position,l_arm_l_arm_yaw_temperature,l_arm_l_arm_yaw_goal_position,l_arm_l_arm_yaw_pid,l_arm_l_elbow_pitch_position,l_arm_l_elbow_pitch_temperature,l_arm_l_elbow_pitch_goal_position,l_arm_l_elbow_pitch_pid,l_arm_l_shoulder_pitch_position,l_arm_l_shoulder_pitch_temperature,l_arm_l_shoulder_pitch_goal_position,l_arm_l_shoulder_pitch_pid,r_arm_r_shoulder_pitch_position,r_arm_r_shoulder_pitch_temperature,r_arm_r_shoulder_pitch_goal_position,r_arm_r_shoulder_pitch_pid,r_arm_r_elbow_pitch_position,r_arm_r_elbow_pitch_temperature,r_arm_r_elbow_pitch_goal_position,r_arm_r_elbow_pitch_pid,r_arm_r_wrist_roll_position,r_arm_r_wrist_roll_temperature,r_arm_r_wrist_roll_goal_position,r_arm_r_wrist_roll_pid,r_arm_r_shoulder_roll_position,r_arm_r_shoulder_roll_temperature,r_arm_r_shoulder_roll_goal_position,r_arm_r_shoulder_roll_pid,r_arm_r_arm_yaw_position,r_arm_r_arm_yaw_temperature,r_arm_r_arm_yaw_goal_position,r_arm_r_arm_yaw_pid,r_arm_r_wrist_pitch_position,r_arm_r_wrist_pitch_temperature,r_arm_r_wrist_pitch_goal_position,r_arm_r_wrist_pitch_pid,r_arm_r_gripper_position,r_arm_r_gripper_temperature,r_arm_r_gripper_goal_position,r_arm_r_gripper_pid,r_arm_r_forearm_yaw_position,r_arm_r_forearm_yaw_temperature,r_arm_r_forearm_yaw_goal_position,r_arm_r_forearm_yaw_pid
0.0,-1.32,41.0,0.0,"(32.0, 0.0, 0.0)",-14.81,43.0,-14.85,"(32.0, 0.0, 0.0)",1.32,42.0,0.0,"(32.0, 0.0, 0.0)",-2.24,37.0,0.0,"(32.0, 0.0, 0.0)",0.18,42.0,0.0,"(32.0, 0.0, 0.0)",1.14,39.0,0.0,"(32.0, 0.0, 0.0)",-0.18,37.0,-0.0,"(32.0, 0.0, 0.0)",-1.45,38.0,0.0,"(32.0, 0.0, 0.0)",9.63,39.0,0.0,"(32.0, 0.0, 0.0)",1.76,37.0,-0.0,"(32.0, 0.0, 0.0)",20.39,42.0,0.0,"(32.0, 0.0, 0.0)",-0.92,37.0,-0.0,"(32.0, 0.0, 0.0)",-0.44,39.0,-0.0,"(32.0, 0.0, 0.0)",12.74,43.0,0.0,"(32.0, 0.0, 0.0)",-11.25,37.0,-11.25,"(32.0, 0.0, 0.0)",-0.79,42.0,0.0,"(32.0, 0.0, 0.0)"
0.10151457786560059,-1.32,41.0,0.0,"(32.0, 0.0, 0.0)",-14.81,43.0,-14.85,"(32.0, 0.0, 0.0)",1.32,42.0,0.0,"(32.0, 0.0, 0.0)",-1.45,37.0,0.01,"(32.0, 0.0, 0.0)",0.26,42.0,0.0,"(32.0, 0.0, 0.0)",1.05,39.0,0.01,"(32.0, 0.0, 0.0)",-0.26,37.0,-0.01,"(32.0, 0.0, 0.0)",-1.45,38.0,0.0,"(32.0, 0.0, 0.0)",9.89,39.0,0.0,"(32.0, 0.0, 0.0)",1.14,37.0,-0.0,"(32.0, 0.0, 0.0)",20.39,42.0,0.0,"(32.0, 0.0, 0.0)",-0.75,37.0,-0.0,"(32.0, 0.0, 0.0)",-0.44,39.0,-0.0,"(32.0, 0.0, 0.0)",12.83,43.0,0.0,"(32.0, 0.0, 0.0)",-11.25,37.0,-11.25,"(32.0, 0.0, 0.0)",-0.79,42.0,0.0,"(32.0, 0.0, 0.0)"
0.20203495025634766,-1.32,41.0,0.0,"(32.0, 0.0, 0.0)",-14.81,43.0,-14.85,"(32.0, 0.0, 0.0)",1.32,42.0,0.0,"(32.0, 0.0, 0.0)",-0.05,37.0,0.05,"(32.0, 0.0, 0.0)",0.18,42.0,0.0,"(32.0, 0.0, 0.0)",0.97,39.0,0.05,"(32.0, 0.0, 0.0)",-0.18,37.0,-0.05,"(32.0, 0.0, 0.0)",-1.45,38.0,0.0,"(32.0, 0.0, 0.0)",10.07,39.0,0.0,"(32.0, 0.0, 0.0)",-0.26,37.0,-0.05,"(32.0, 0.0, 0.0)",20.39,42.0,0.0,"(32.0, 0.0, 0.0)",-0.48,37.0,-0.05,"(32.0, 0.0, 0.0)",-0.35,39.0,-0.05,"(32.0, 0.0, 0.0)",12.74,43.0,0.0,"(32.0, 0.0, 0.0)",-11.25,37.0,-11.25,"(32.0, 0.0, 0.0)",-0.79,42.0,0.0,"(32.0, 0.0, 0.0)"
0.302553653717041,-1.32,41.0,0.0,"(32.0, 0.0, 0.0)",-14.81,43.0,-14.85,"(32.0, 0.0, 0.0)",1.32,42.0,0.0,"(32.0, 0.0, 0.0)",0.66,37.0,0.16,"(32.0, 0.0, 0.0)",0.18,42.0,0.0,"(32.0, 0.0, 0.0)",1.05,39.0,0.16,"(32.0, 0.0, 0.0)",-0.18,37.0,-0.16,"(32.0, 0.0, 0.0)",-1.45,38.0,0.0,"(32.0, 0.0, 0.0)",9.8,39.0,0.0,"(32.0, 0.0, 0.0)",-0.26,37.0,-0.16,"(32.0, 0.0, 0.0)",20.3,42.0,0.0,"(32.0, 0.0, 0.0)",-0.22,37.0,-0.16,"(32.0, 0.0, 0.0)",-0.35,39.0,-0.16,"(32.0, 0.0, 0.0)",12.74,43.0,0.0,"(32.0, 0.0, 0.0)",-11.25,37.0,-11.25,"(32.0, 0.0, 0.0)",-0.79,42.0,0.0,"(32.0, 0.0, 0.0)"
0.4035665988922119,-1.32,41.0,0.0,"(32.0, 0.0, 0.0)",-14.81,43.0,-14.85,"(32.0, 0.0, 0.0)",1.32,42.0,0.0,"(32.0, 0.0, 0.0)",0.22,37.0,0.36,"(32.0, 0.0, 0.0)",0.18,42.0,0.0,"(32.0, 0.0, 0.0)",0.97,39.0,0.36,"(32.0, 0.0, 0.0)",-0.18,37.0,-0.36,"(32.0, 0.0, 0.0)",-1.45,38.0,0.0,"(32.0, 0.0, 0.0)",9.71,39.0,0.0,"(32.0, 0.0, 0.0)",-0.26,37.0,-0.36,"(32.0, 0.0, 0.0)",20.39,42.0,0.0,"(32.0, 0.0, 0.0)",-0.04,37.0,-0.36,"(32.0, 0.0, 0.0)",-0.35,39.0,-0.36,"(32.0, 0.0, 0.0)",12.74,43.0,0.0,"(32.0, 0.0, 0.0)",-11.25,37.0,-11.25,"(32.0, 0.0, 0.0)",-0.88,42.0,0.0,"(32.0, 0.0, 0.0)"
0.504065990447998,-1.32,41.0,0.0,"(32.0, 0.0, 0.0)",-14.81,43.0,-14.85,"(32.0, 0.0, 0.0)",1.32,42.0,0.0,"(32.0, 0.0, 0.0)",-0.31,37.0,0.68,"(32.0, 0.0, 0.0)",0.26,42.0,0.0,"(32.0, 0.0, 0.0)",1.05,39.0,0.68,"(32.0, 0.0, 0.0)",-0.18,37.0,-0.68,"(32.0, 0.0, 0.0)",-1.45,38.0,0.0,"(32.0, 0.0, 0.0)",9.71,39.0,0.0,"(32.0, 0.0, 0.0)",-0.26,37.0,-0.68,"(32.0, 0.0, 0.0)",20.39,42.0,0.0,"(32.0, 0.0, 0.0)",-0.22,37.0,-0.68,"(32.0, 0.0, 0.0)",-0.35,39.0,-0.68,"(32.0, 0.0, 0.0)",12.74,43.0,0.0,"(32.0, 0.0, 0.0)",-11.25,37.0,-11.25,"(32.0, 0.0, 0.0)",-0.79,42.0,0.0,"(32.0, 0.0, 0.0)"
0.605088472366333,-1.32,41.0,0.0,"(32.0, 0.0, 0.0)",-14.81,43.0,-14.85,"(32.0, 0.0, 0.0)",1.32,42.0,0.0,"(32.0, 0.0, 0.0)",0.22,37.0,1.13,"(32.0, 0.0, 0.0)",0.18,42.0,0.0,"(32.0, 0.0, 0.0)",1.05,39.0,1.13,"(32.0, 0.0, 0.0)",-0.18,37.0,-1.13,"(32.0, 0.0, 0.0)",-1.45,38.0,0.0,"(32.0, 0.0, 0.0)",9.8,39.0,0.0,"(32.0, 0.0, 0.0)",-0.26,37.0,-1.13,"(32.0, 0.0, 0.0)",20.3,42.0,0.0,"(32.0, 0.0, 0.0)",-0.57,37.0,-1.13,"(32.0, 0.0, 0.0)",-0.44,39.0,-1.13,"(32.0, 0.0, 0.0)",12.74,43.0,0.0,"(32.0, 0.0, 0.0)",-11.21,37.0,-11.25,"(32.0, 0.0, 0.0)",-0.79,42.0,0.0,"(32.0, 0.0, 0.0)"
0.7061035633087158,-1.23,41.0,0.0,"(32.0, 0.0, 0.0)",-14.81,43.0,-14.85,"(32.0, 0.0, 0.0)",1.32,42.0,0.0,"(32.0, 0.0, 0.0)",1.54,37.0,1.95,"(32.0, 0.0, 0.0)",0.18,42.0,0.0,"(32.0, 0.0, 0.0)",1.23,39.0,1.95,"(32.0, 0.0, 0.0)",-0.18,37.0,-1.95,"(32.0, 0.0, 0.0)",-1.45,38.0,0.0,"(32.0, 0.0, 0.0)",10.15,39.0,0.0,"(32.0, 0.0, 0.0)",-1.14,37.0,-1.95,"(32.0, 0.0, 0.0)",20.39,42.0,0.0,"(32.0, 0.0, 0.0)",-0.92,37.0,-1.95,"(32.0, 0.0, 0.0)",-0.88,39.0,-1.95,"(32.0, 0.0, 0.0)",12.74,43.0,0.0,"(32.0, 0.0, 0.0)",-11.21,37.0,-11.25,"(32.0, 0.0, 0.0)",-0.79,42.0,0.0,"(32.0, 0.0, 0.0)"
0.8067009449005127,-1.32,41.0,0.0,"(32.0, 0.0, 0.0)",-14.85,43.0,-14.85,"(32.0, 0.0, 0.0)",1.32,42.0,0.0,"(32.0, 0.0, 0.0)",2.15,37.0,2.77,"(32.0, 0.0, 0.0)",0.26,42.0,0.0,"(32.0, 0.0, 0.0)",1.67,39.0,2.77,"(32.0, 0.0, 0.0)",-0.18,37.0,-2.77,"(32.0, 0.0, 0.0)",-1.45,38.0,0.0,"(32.0, 0.0, 0.0)",10.15,39.0,0.0,"(32.0, 0.0, 0.0)",-1.58,37.0,-2.77,"(32.0, 0.0, 0.0)",20.39,42.0,0.0,"(32.0, 0.0, 0.0)",-1.45,37.0,-2.77,"(32.0, 0.0, 0.0)",-1.49,39.0,-2.77,"(32.0, 0.0, 0.0)",12.74,43.0,0.0,"(32.0, 0.0, 0.0)",-11.25,37.0,-11.25,"(32.0, 0.0, 0.0)",-0.79,42.0,0.0,"(32.0, 0.0, 0.0)"
0.9072191715240479,-1.32,41.0,0.0,"(32.0, 0.0, 0.0)",-14.85,43.0,-14.85,"(32.0, 0.0, 0.0)",1.32,42.0,0.0,"(32.0, 0.0, 0.0)",2.24,37.0,3.77,"(32.0, 0.0, 0.0)",0.26,42.0,0.0,"(32.0, 0.0, 0.0)",2.37,39.0,3.77,"(32.0, 0.0, 0.0)",-0.18,37.0,-3.77,"(32.0, 0.0, 0.0)",-1.45,38.0,0.0,"(32.0, 0.0, 0.0)",10.24,39.0,0.0,"(32.0, 0.0, 0.0)",-2.37,37.0,-3.77,"(32.0, 0.0, 0.0)",20.39,42.0,0.0,"(32.0, 0.0, 0.0)",-2.15,37.0,-3.77,"(32.0, 0.0, 0.0)",-2.29,39.0,-3.77,"(32.0, 0.0, 0.0)",12.74,43.0,0.0,"(32.0, 0.0, 0.0)",-11.25,37.0,-11.25,"(32.0, 0.0, 0.0)",-0.79,42.0,0.0,"(32.0, 0.0, 0.0)"
